DATA LENGTH(steps) :
1823
STEP LENGTH(sec) :
0.010000

PCz,         PEL_Q0,      PEL_Qx,      PEL_Qy,      PEL_Qz,      WST,         RSP,         RSR,         RSY,         REP,         REY,         LSP,         LSR,         LSY,         LEP,         LEY
0.621000     0.999893     -0.000103    -0.013949    0.004418     -0.015944    -1.386072    -0.820728    0.646306     -1.509369    0.195641     -1.335495    0.611771     -0.648496    -1.412444    -0.313203   
0.621000     0.999905     -0.000040    -0.013018    0.004505     -0.016307    -1.404886    -0.821296    0.654472     -1.518649    0.206608     -1.353931    0.611631     -0.653445    -1.422173    -0.324482   
0.621000     0.999917     0.000024     -0.012020    0.004588     -0.016694    -1.423145    -0.821719    0.662559     -1.527760    0.217256     -1.371956    0.611431     -0.658300    -1.431719    -0.334750   
0.621000     0.999929     0.000092     -0.010953    0.004666     -0.017101    -1.440811    -0.822004    0.670544     -1.536697    0.227507     -1.389521    0.611173     -0.663049    -1.441066    -0.343972   
0.621000     0.999941     0.000162     -0.009815    0.004741     -0.017531    -1.457854    -0.822155    0.678411     -1.545443    0.237301     -1.406581    0.610860     -0.667670    -1.450195    -0.352150   
0.621000     0.999951     0.000235     -0.008604    0.004813     -0.017977    -1.474246    -0.822178    0.686139     -1.553984    0.246581     -1.423091    0.610492     -0.672149    -1.459084    -0.359310   
0.621000     0.999961     0.000311     -0.007317    0.004880     -0.018442    -1.489956    -0.822081    0.693707     -1.562299    0.255307     -1.439009    0.610074     -0.676472    -1.467708    -0.365503   
0.621000     0.999970     0.000390     -0.005953    0.004945     -0.018922    -1.504962    -0.821872    0.701096     -1.570362    0.263451     -1.454295    0.609607     -0.680624    -1.476046    -0.370799   
0.621000     0.999977     0.000473     -0.004510    0.005007     -0.019416    -1.519239    -0.821556    0.708287     -1.578150    0.270998     -1.468911    0.609098     -0.684592    -1.484073    -0.375278   
0.621000     0.999983     0.000559     -0.002985    0.005066     -0.019923    -1.532766    -0.821145    0.715257     -1.585639    0.277949     -1.482828    0.608548     -0.688367    -1.491769    -0.379034   
0.621000     0.999986     0.000649     -0.001377    0.005123     -0.020439    -1.545531    -0.820646    0.721989     -1.592803    0.284317     -1.496018    0.607963     -0.691940    -1.499115    -0.382161   
0.621000     0.999986     0.000743     0.000315     0.005177     -0.020962    -1.557519    -0.820069    0.728464     -1.599620    0.290130     -1.508459    0.607348     -0.695305    -1.506093    -0.384756   
0.621000     0.999984     0.000841     0.002094     0.005230     -0.021491    -1.568729    -0.819424    0.734666     -1.606067    0.295430     -1.520135    0.606706     -0.698451    -1.512690    -0.386912   
0.621000     0.999978     0.000944     0.003962     0.005281     -0.022024    -1.579156    -0.818721    0.740573     -1.612131    0.300272     -1.531036    0.606042     -0.701377    -1.518894    -0.388721   
0.621000     0.999968     0.001051     0.005918     0.005332     -0.022558    -1.588805    -0.817968    0.746171     -1.617795    0.304718     -1.541159    0.605359     -0.704074    -1.524695    -0.390265   
0.621000     0.999953     0.001163     0.007965     0.005381     -0.023090    -1.597687    -0.817176    0.751445     -1.623054    0.308834     -1.550508    0.604659     -0.706540    -1.530085    -0.391621   
0.621000     0.999933     0.001281     0.010104     0.005430     -0.023619    -1.605818    -0.816354    0.756379     -1.627903    0.312687     -1.559095    0.603944     -0.708771    -1.535059    -0.392853   
0.621000     0.999908     0.001403     0.012335     0.005478     -0.024141    -1.613223    -0.815508    0.760959     -1.632340    0.316345     -1.566933    0.603217     -0.710763    -1.539614    -0.394020   
0.621000     0.999876     0.001530     0.014660     0.005528     -0.024658    -1.619925    -0.814646    0.765172     -1.636375    0.319862     -1.574045    0.602478     -0.712508    -1.543750    -0.395171   
